Epoch,Iteration,Acc(R),MeanOut(R),Loss(R),Acc(F),MeanOut(F),Loss(F),Acc(Overall),
0,0,100.00,0.52,0.65,0.00,0.53,0.75,50.00,
0,1,0.00,0.37,0.99,100.00,0.37,0.46,50.00,
1,0,100.00,0.56,0.57,0.00,0.56,0.83,50.00,
1,1,80.00,0.51,0.67,15.00,0.51,0.71,47.50,
2,0,90.00,0.53,0.63,0.00,0.53,0.76,45.00,
2,1,0.00,0.34,1.07,100.00,0.35,0.43,50.00,
3,0,100.00,0.65,0.43,0.00,0.67,1.11,50.00,
3,1,0.00,0.48,0.74,85.00,0.47,0.64,42.50,
4,0,0.00,0.33,1.11,100.00,0.36,0.45,50.00,
4,1,90.00,0.52,0.65,20.00,0.52,0.73,55.00,
